Unnamed: 0,tags,value,series_id
2141,isExpenseLimitationInPlace,N,S000004361
2142,isExpenseReducedOrWaived,N,S000004361
2143,isFeesWaivedRecoupable,N,S000004361
2144,isExpenseWaivedRecoupable,N,S000004361
2145,investmentAdviserName,BlackRock Fund Advisors,S000004361
2146,investmentAdviserFileNo,801-22609,S000004361
2147,investmentAdviserCrdNo,000105247,S000004361
2148,investmentAdviserLei,549300YOOGP0Y1M95C20,S000004361
2149,investmentAdviserState,US-CA,S000004361
2150,investmentAdviserCountry,US,S000004361
2151,isInvestmentAdviserHired,N,S000004361
2152,transferAgentName,State Street Bank and Trust Company,S000004361
2153,transferAgentFileNo,85-05003,S000004361
2154,transferAgentLei,571474TGEMMWANRLN572,S000004361
2155,transferAgentState,US-MA,S000004361
2156,transferAgentCountry,US,S000004361
2157,isTransferAgentAffiliated,N,S000004361
2158,isTransferAgentSubAgent,N,S000004361
2159,isTransferAgentHiredOrTerminated,N,S000004361
2160,pricingServiceName,Refinitiv US Holdings Inc.,S000004361
2161,pricingServiceLei,549300NF240HXJO7N016,S000004361
2162,pricingServiceState,US-CT,S000004361
2163,pricingServiceCountry,US,S000004361
2164,isPricingServiceAffiliated,N,S000004361
2165,pricingServiceName,IHS Markit Ltd.,S000004361
2166,pricingServiceLei,549300HLPTRASHS0E726,S000004361
2167,pricingServiceCountry,GB,S000004361
2168,isPricingServiceAffiliated,N,S000004361
2169,pricingServiceName,"ICE Data Services, Inc.",S000004361
2170,pricingServiceLei,13-3668779,S000004361
2171,pricingServiceIdNumberDesc,Tax ID,S000004361
2172,pricingServiceState,US-NY,S000004361
2173,pricingServiceCountry,US,S000004361
2174,isPricingServiceAffiliated,N,S000004361
2175,pricingServiceName,Bloomberg L.P.,S000004361
2176,pricingServiceLei,549300B56MD0ZC402L06,S000004361
2177,pricingServiceState,US-NY,S000004361
2178,pricingServiceCountry,US,S000004361
2179,isPricingServiceAffiliated,N,S000004361
2180,isPricingServiceHiredOrTerminated,N,S000004361
2181,custodianName,State Street Bank and Trust Company,S000004361
2182,custodianLei,571474TGEMMWANRLN572,S000004361
2183,custodianState,US-MA,S000004361
2184,custodianCountry,US,S000004361
2185,isCustodianAffiliated,N,S000004361
2186,isSubCustodian,N,S000004361
2187,custodyType,Bank - section 17(f)(1) (15 U.S.C. 80a-17(f)(1)),S000004361
2188,custodianName,"Wells Fargo Securities, LLC",S000004361
2189,custodianLei,VYVVCKR63DVZZN70PB21,S000004361
2190,custodianState,US-NC,S000004361
2191,custodianCountry,US,S000004361
2192,isCustodianAffiliated,N,S000004361
2193,isSubCustodian,Y,S000004361
2194,custodyType,Futures commission merchants and commodity clearing organizations - rule 17f-6 (17 CFR 270.17f-6),S000004361
2195,isCustodianHiredOrTerminated,N,S000004361
2196,isShareholderServiceHiredTerminated,N,S000004361
2197,adminName,State Street Bank and Trust Company,S000004361
2198,adminLei,571474TGEMMWANRLN572,S000004361
2199,adminState,US-MA,S000004361
2200,adminCountry,US,S000004361
2201,isAdminAffiliated,N,S000004361
2202,isAdminSubAdmin,N,S000004361
2203,isAdminHiredOrTerminated,N,S000004361
