Unnamed:_0,tags,value,series_id
136,custodian,H85Z6XZP8B10ES0M2G89                                   ,S000010517
158,custodian,6BYL5QZYBDK8S7L73M02                                   ,S000010534
170,custodian,6BYL5QZYBDK8S7L73M02                                   ,S000069481
262,custodian,E57ODZWZ7FF32TWEFA76                                   ,S000015878
268,custodian,E57ODZWZ7FF32TWEFA76                                   ,S000015878
275,custodian,2SFFM4FUIE05S37WFU55                                   ,S000015878
281,custodian,E57ODZWZ7FF32TWEFA76                                   ,S000015878
287,custodian,E57ODZWZ7FF32TWEFA76                                   ,S000015878
291,custodian,6BYL5QZYBDK8S7L73M02                                   ,S000069481
293,custodian,E57ODZWZ7FF32TWEFA76                                   ,S000015878
299,custodian,E57ODZWZ7FF32TWEFA76                                   ,S000015878
305,custodian,FKT8632221BKH80JX336                                   ,S000015878
311,custodian,E57ODZWZ7FF32TWEFA76                                   ,S000015878
317,custodian,745P3MMS7E8CUVXDRJ82                                   ,S000015878
323,custodian,549300OZ46BRLZ8Y6F65                                   ,S000015878
329,custodian,E57ODZWZ7FF32TWEFA76                                   ,S000015878
331,custodian,00000000000000000000                                   ,S000037227
331,custodian,00000000000000000000                                   ,S000037226
331,custodian,00000000000000000000                                   ,S000012927
331,custodian,00000000000000000000                                   ,S000012929
331,custodian,00000000000000000000                                   ,S000012897
335,custodian,E57ODZWZ7FF32TWEFA76                                   ,S000015878
337,custodian,2221002FP8B6YLW3VJ71                                   ,S000037227
337,custodian,2221002FP8B6YLW3VJ71                                   ,S000037226
337,custodian,2221002FP8B6YLW3VJ71                                   ,S000012927
337,custodian,2221002FP8B6YLW3VJ71                                   ,S000012929
337,custodian,2221002FP8B6YLW3VJ71                                   ,S000012897
341,custodian,E57ODZWZ7FF32TWEFA76                                   ,S000015878
343,custodian,00000000000000000000                                   ,S000037227
343,custodian,00000000000000000000                                   ,S000037226
343,custodian,00000000000000000000                                   ,S000012927
343,custodian,00000000000000000000                                   ,S000012929
343,custodian,00000000000000000000                                   ,S000012897
347,custodian,E57ODZWZ7FF32TWEFA76                                   ,S000015878
349,custodian,QINWV8RCPXRMH5IWUL13                                   ,S000037227
349,custodian,QINWV8RCPXRMH5IWUL13                                   ,S000037226
349,custodian,QINWV8RCPXRMH5IWUL13                                   ,S000012927
349,custodian,QINWV8RCPXRMH5IWUL13                                   ,S000012929
349,custodian,QINWV8RCPXRMH5IWUL13                                   ,S000012897
352,custodian,571474TGEMMWANRLN572                                   ,S000071770
352,custodian,549300OZ46BRLZ8Y6F65                                   ,S000057630
353,custodian,N1FBEDJ5J41VKZLO2475                                   ,S000015878
355,custodian,CWZ8NZDH5SKY12Q4US31                                   ,S000037227
355,custodian,CWZ8NZDH5SKY12Q4US31                                   ,S000037226
355,custodian,CWZ8NZDH5SKY12Q4US31                                   ,S000012927
355,custodian,CWZ8NZDH5SKY12Q4US31                                   ,S000012929
355,custodian,CWZ8NZDH5SKY12Q4US31                                   ,S000012897
358,custodian,7H6GLXDRUGQFU57RNE97                                   ,S000057630
359,custodian,549300HN4UKV1E2R3U73                                   ,S000071770
359,custodian,N1FBEDJ5J41VKZLO2475                                   ,S000015878
361,custodian,N1FBEDJ5J41VKZLO2475                                   ,S000037227
361,custodian,N1FBEDJ5J41VKZLO2475                                   ,S000037226
361,custodian,N1FBEDJ5J41VKZLO2475                                   ,S000012927
361,custodian,N1FBEDJ5J41VKZLO2475                                   ,S000012929
361,custodian,N1FBEDJ5J41VKZLO2475                                   ,S000012897
365,custodian,E57ODZWZ7FF32TWEFA76                                   ,S000015878
367,custodian,E57ODZWZ7FF32TWEFA76                                   ,S000037227
367,custodian,E57ODZWZ7FF32TWEFA76                                   ,S000037226
367,custodian,E57ODZWZ7FF32TWEFA76                                   ,S000012927
367,custodian,E57ODZWZ7FF32TWEFA76                                   ,S000012929
367,custodian,E57ODZWZ7FF32TWEFA76                                   ,S000012897
371,custodian,E57ODZWZ7FF32TWEFA76                                   ,S000015878
373,custodian,00000000000000000000                                   ,S000037227
373,custodian,00000000000000000000                                   ,S000037226
373,custodian,00000000000000000000                                   ,S000012927
373,custodian,00000000000000000000                                   ,S000012929
373,custodian,00000000000000000000                                   ,S000012897
377,custodian,QINWV8RCPXRMH5IWUL13                                   ,S000015878
379,custodian,N1FBEDJ5J41VKZLO2475                                   ,S000037227
379,custodian,N1FBEDJ5J41VKZLO2475                                   ,S000037226
379,custodian,N1FBEDJ5J41VKZLO2475                                   ,S000012927
379,custodian,N1FBEDJ5J41VKZLO2475                                   ,S000012929
379,custodian,N1FBEDJ5J41VKZLO2475                                   ,S000012897
383,custodian,E57ODZWZ7FF32TWEFA76                                   ,S000015878
385,custodian,YJW4XPRSVL5L1ANG2086                                   ,S000037227
385,custodian,YJW4XPRSVL5L1ANG2086                                   ,S000037226
385,custodian,YJW4XPRSVL5L1ANG2086                                   ,S000012927
385,custodian,YJW4XPRSVL5L1ANG2086                                   ,S000012929
385,custodian,YJW4XPRSVL5L1ANG2086                                   ,S000012897
389,custodian,N1FBEDJ5J41VKZLO2475                                   ,S000015878
391,custodian,549300CBNW05DILT6870                                   ,S000037227
391,custodian,549300CBNW05DILT6870                                   ,S000037226
391,custodian,549300CBNW05DILT6870                                   ,S000012927
391,custodian,549300CBNW05DILT6870                                   ,S000012929
391,custodian,549300CBNW05DILT6870                                   ,S000012897
393,custodian,549300HN4UKV1E2R3U73                                   ,S000054488
393,custodian,549300HN4UKV1E2R3U73                                   ,S000060180
393,custodian,549300HN4UKV1E2R3U73                                   ,S000063668
393,custodian,549300HN4UKV1E2R3U73                                   ,S000074053
395,custodian,8B4EZFY8IHJC44TT2K84                                   ,S000015878
397,custodian,745P3MMS7E8CUVXDRJ82                                   ,S000037227
397,custodian,745P3MMS7E8CUVXDRJ82                                   ,S000037226
397,custodian,745P3MMS7E8CUVXDRJ82                                   ,S000012927
397,custodian,745P3MMS7E8CUVXDRJ82                                   ,S000012929
397,custodian,745P3MMS7E8CUVXDRJ82                                   ,S000012897
400,custodian,7H6GLXDRUGQFU57RNE97                                   ,S000060180
400,custodian,7H6GLXDRUGQFU57RNE97                                   ,S000063668
400,custodian,7H6GLXDRUGQFU57RNE97                                   ,S000074053
400,custodian,7H6GLXDRUGQFU57RNE97                                   ,S000054488
401,custodian,CWZ8NZDH5SKY12Q4US31                                   ,S000015878
403,custodian,00000000000000000000                                   ,S000037227
403,custodian,00000000000000000000                                   ,S000037226
403,custodian,00000000000000000000                                   ,S000012927
403,custodian,00000000000000000000                                   ,S000012929
403,custodian,00000000000000000000                                   ,S000012897
407,custodian,0C45RG70GW42XSBLJ131                                   ,S000015878
409,custodian,00000000000000000000                                   ,S000037227
409,custodian,00000000000000000000                                   ,S000037226
409,custodian,00000000000000000000                                   ,S000012927
409,custodian,00000000000000000000                                   ,S000012929
409,custodian,00000000000000000000                                   ,S000012897
413,custodian,YJW4XPRSVL5L1ANG2086                                   ,S000015878
414,custodian,HPFHU0OQ28E4N0NFVK49                                   ,S000040658
415,custodian,0000000000                                             ,S000037227
415,custodian,0000000000                                             ,S000037226
415,custodian,0000000000                                             ,S000012927
415,custodian,0000000000                                             ,S000012929
415,custodian,0000000000                                             ,S000012897
421,custodian,00000000000000000000                                   ,S000037227
421,custodian,00000000000000000000                                   ,S000037226
421,custodian,00000000000000000000                                   ,S000012927
421,custodian,00000000000000000000                                   ,S000012929
421,custodian,00000000000000000000                                   ,S000012897
427,custodian,571474TGEMMWANRLN572                                   ,S000005485
427,custodian,XLEZHWW014HFQDGL4793                                   ,S000037227
427,custodian,571474TGEMMWANRLN572                                   ,S000077554
427,custodian,571474TGEMMWANRLN572                                   ,S000005489
427,custodian,571474TGEMMWANRLN572                                   ,S000034948
427,custodian,571474TGEMMWANRLN572                                   ,S000004922
427,custodian,XLEZHWW014HFQDGL4793                                   ,S000037226
427,custodian,571474TGEMMWANRLN572                                   ,S000005488
427,custodian,XLEZHWW014HFQDGL4793                                   ,S000012927
427,custodian,571474TGEMMWANRLN572                                   ,S000068925
427,custodian,XLEZHWW014HFQDGL4793                                   ,S000012929
427,custodian,XLEZHWW014HFQDGL4793                                   ,S000012897
427,custodian,571474TGEMMWANRLN572                                   ,S000072426
433,custodian,00000000000000000000                                   ,S000037227
433,custodian,00000000000000000000                                   ,S000037226
433,custodian,00000000000000000000                                   ,S000012927
433,custodian,00000000000000000000                                   ,S000012929
433,custodian,00000000000000000000                                   ,S000012897
434,custodian,549300OZ46BRLZ8Y6F65                                   ,S000068925
434,custodian,549300OZ46BRLZ8Y6F65                                   ,S000072426
434,custodian,549300OZ46BRLZ8Y6F65                                   ,S000005488
434,custodian,549300OZ46BRLZ8Y6F65                                   ,S000005485
434,custodian,549300OZ46BRLZ8Y6F65                                   ,S000077554
434,custodian,549300OZ46BRLZ8Y6F65                                   ,S000005489
434,custodian,549300OZ46BRLZ8Y6F65                                   ,S000034948
434,custodian,549300OZ46BRLZ8Y6F65                                   ,S000004922
438,custodian,HPFHU0OQ28E4N0NFVK49                                   ,S000005448
438,custodian,HPFHU0OQ28E4N0NFVK49                                   ,S000005447
439,custodian,00000000000000000000                                   ,S000037227
439,custodian,00000000000000000000                                   ,S000037226
439,custodian,00000000000000000000                                   ,S000012927
439,custodian,00000000000000000000                                   ,S000012929
439,custodian,00000000000000000000                                   ,S000012897
445,custodian,00000000000000000000                                   ,S000037227
445,custodian,00000000000000000000                                   ,S000037226
445,custodian,00000000000000000000                                   ,S000012927
445,custodian,HPFHU0OQ28E4N0NFVK49                                   ,S000005448
445,custodian,00000000000000000000                                   ,S000012929
445,custodian,00000000000000000000                                   ,S000012897
445,custodian,HPFHU0OQ28E4N0NFVK49                                   ,S000005447
451,custodian,N1FBEDJ5J41VKZL02475                                   ,S000037227
451,custodian,N1FBEDJ5J41VKZL02475                                   ,S000037226
451,custodian,N1FBEDJ5J41VKZL02475                                   ,S000012927
451,custodian,N1FBEDJ5J41VKZL02475                                   ,S000012929
451,custodian,N1FBEDJ5J41VKZL02475                                   ,S000012897
457,custodian,N1FBEDJ5J41VKZLO2475                                   ,S000037227
457,custodian,N1FBEDJ5J41VKZLO2475                                   ,S000037226
457,custodian,N1FBEDJ5J41VKZLO2475                                   ,S000012927
457,custodian,N1FBEDJ5J41VKZLO2475                                   ,S000012929
457,custodian,N1FBEDJ5J41VKZLO2475                                   ,S000012897
463,custodian,E57ODZWZ7FF32TWEFA76                                   ,S000037227
463,custodian,E57ODZWZ7FF32TWEFA76                                   ,S000037226
463,custodian,E57ODZWZ7FF32TWEFA76                                   ,S000012927
463,custodian,E57ODZWZ7FF32TWEFA76                                   ,S000012929
463,custodian,E57ODZWZ7FF32TWEFA76                                   ,S000012897
470,custodian,8KA1PQPA9THGG1BNCT31                                   ,S000012927
470,custodian,8KA1PQPA9THGG1BNCT31                                   ,S000012929
470,custodian,8KA1PQPA9THGG1BNCT31                                   ,S000012897
470,custodian,8KA1PQPA9THGG1BNCT31                                   ,S000037226
470,custodian,8KA1PQPA9THGG1BNCT31                                   ,S000037227
476,custodian,8KA1PQPA9THGG1BNCT31                                   ,S000012927
476,custodian,8KA1PQPA9THGG1BNCT31                                   ,S000012929
476,custodian,8KA1PQPA9THGG1BNCT31                                   ,S000012897
476,custodian,8KA1PQPA9THGG1BNCT31                                   ,S000037226
476,custodian,8KA1PQPA9THGG1BNCT31                                   ,S000037227
482,custodian,N1FBEDJ5J41VKZLO2475                                   ,S000012927
482,custodian,HPFHU0OQ28E4N0NFVK49                                   ,S000017679
482,custodian,N1FBEDJ5J41VKZLO2475                                   ,S000012929
482,custodian,HPFHU0OQ28E4N0NFVK49                                   ,S000017677
482,custodian,N1FBEDJ5J41VKZLO2475                                   ,S000012897
482,custodian,N1FBEDJ5J41VKZLO2475                                   ,S000037226
482,custodian,HPFHU0OQ28E4N0NFVK49                                   ,S000054519
482,custodian,N1FBEDJ5J41VKZLO2475                                   ,S000037227
488,custodian,E570DZWZ7FF32TWEFA76                                   ,S000012927
488,custodian,E570DZWZ7FF32TWEFA76                                   ,S000012929
488,custodian,E570DZWZ7FF32TWEFA76                                   ,S000012897
488,custodian,E570DZWZ7FF32TWEFA76                                   ,S000037226
488,custodian,E570DZWZ7FF32TWEFA76                                   ,S000037227
489,custodian,HPFHU0OQ28E4N0NFVK49                                   ,S000054519
489,custodian,HPFHU0OQ28E4N0NFVK49                                   ,S000017679
489,custodian,HPFHU0OQ28E4N0NFVK49                                   ,S000017677
494,custodian,N1FBEDJ5J41VKZLO2475                                   ,S000012927
494,custodian,N1FBEDJ5J41VKZLO2475                                   ,S000012929
494,custodian,N1FBEDJ5J41VKZLO2475                                   ,S000012897
494,custodian,N1FBEDJ5J41VKZLO2475                                   ,S000037226
494,custodian,N1FBEDJ5J41VKZLO2475                                   ,S000037227
500,custodian,00000000000000000000                                   ,S000012927
500,custodian,00000000000000000000                                   ,S000012929
500,custodian,00000000000000000000                                   ,S000012897
500,custodian,00000000000000000000                                   ,S000037226
500,custodian,00000000000000000000                                   ,S000037227
506,custodian,N1FBEDJ5J41VKZLO2475                                   ,S000012927
506,custodian,N1FBEDJ5J41VKZLO2475                                   ,S000012929
506,custodian,N1FBEDJ5J41VKZLO2475                                   ,S000012897
506,custodian,N1FBEDJ5J41VKZLO2475                                   ,S000037226
506,custodian,N1FBEDJ5J41VKZLO2475                                   ,S000037227
512,custodian,HHY6OGOQAUUT1FUCOL70                                   ,S000012927
512,custodian,HHY6OGOQAUUT1FUCOL70                                   ,S000012929
512,custodian,HHY6OGOQAUUT1FUCOL70                                   ,S000012897
512,custodian,HHY6OGOQAUUT1FUCOL70                                   ,S000037226
512,custodian,HHY6OGOQAUUT1FUCOL70                                   ,S000037227
518,custodian,0C45RG70GW42XSBLJ131                                   ,S000012927
518,custodian,0C45RG70GW42XSBLJ131                                   ,S000012929
518,custodian,0C45RG70GW42XSBLJ131                                   ,S000012897
518,custodian,0C45RG70GW42XSBLJ131                                   ,S000037226
518,custodian,0C45RG70GW42XSBLJ131                                   ,S000037227
540,custodian,7H6GLXDRUGQFU57RNE97                                   ,S000057630
544,custodian,549300MDYVVHJ8D1DW28                                   ,S000006023
544,custodian,549300MDYVVHJ8D1DW28                                   ,S000065248
550,custodian,549300KP56LL8NKKFL47                                   ,S000006023
550,custodian,549300KP56LL8NKKFL47                                   ,S000065248
556,custodian,HPFHU0OQ28E4N0NFVK49                                   ,S000006023
556,custodian,HPFHU0OQ28E4N0NFVK49                                   ,S000065248
563,custodian,HPFHU0OQ28E4N0NFVK49                                   ,S000065248
563,custodian,HPFHU0OQ28E4N0NFVK49                                   ,S000006023
564,custodian,571474TGEMMWANRLN572                                   ,S000068925
564,custodian,571474TGEMMWANRLN572                                   ,S000072426
564,custodian,571474TGEMMWANRLN572                                   ,S000005488
564,custodian,571474TGEMMWANRLN572                                   ,S000005485
564,custodian,571474TGEMMWANRLN572                                   ,S000077554
564,custodian,571474TGEMMWANRLN572                                   ,S000005489
564,custodian,571474TGEMMWANRLN572                                   ,S000034948
564,custodian,571474TGEMMWANRLN572                                   ,S000004922
568,custodian,571474TGEMMWANRLN572                                   ,S000071770
569,custodian,F3JS33DEI6XQ4ZBPTN86                                   ,S000065248
569,custodian,F3JS33DEI6XQ4ZBPTN86                                   ,S000006023
570,custodian,571474TGEMMWANRLN572                                   ,S000068925
