Unnamed:_0,tags,value,series_id
238232,custodian,CITIBANK N.A.- MUMBAI BRANCH                           ,S000007473
238232,custodian,CITIBANK N.A.- MUMBAI BRANCH                           ,S000007463
238232,custodian,CITIBANK N.A.- MUMBAI BRANCH                           ,S000007493
238232,custodian,CITIBANK N.A.- MUMBAI BRANCH                           ,S000007487
238232,custodian,CITIBANK N.A.- MUMBAI BRANCH                           ,S000007469
238232,custodian,CITIBANK N.A.- MUMBAI BRANCH                           ,S000007459
238238,custodian,CITIBANK N.A. SAO PAULO                                ,S000007473
238238,custodian,CITIBANK N.A. SAO PAULO                                ,S000007463
238238,custodian,CITIBANK N.A. SAO PAULO                                ,S000007493
238238,custodian,CITIBANK N.A. SAO PAULO                                ,S000007487
238238,custodian,CITIBANK N.A. SAO PAULO                                ,S000007469
238238,custodian,CITIBANK N.A. SAO PAULO                                ,S000007459
238244,custodian,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED N,S000007473
238244,custodian,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED N,S000007463
238244,custodian,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED N,S000007493
238244,custodian,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED N,S000007487
238244,custodian,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED N,S000007469
238244,custodian,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED N,S000007459
238250,custodian,UNICREDIT BANK HUNGARY ZRT FOR UNICREDIT BANK HUNGARY Z,S000007473
238250,custodian,UNICREDIT BANK HUNGARY ZRT FOR UNICREDIT BANK HUNGARY Z,S000007463
238250,custodian,UNICREDIT BANK HUNGARY ZRT FOR UNICREDIT BANK HUNGARY Z,S000007493
238250,custodian,UNICREDIT BANK HUNGARY ZRT FOR UNICREDIT BANK HUNGARY Z,S000007487
238250,custodian,UNICREDIT BANK HUNGARY ZRT FOR UNICREDIT BANK HUNGARY Z,S000007469
238250,custodian,UNICREDIT BANK HUNGARY ZRT FOR UNICREDIT BANK HUNGARY Z,S000007459
238256,custodian,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED  ,S000007473
238256,custodian,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED  ,S000007463
238256,custodian,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED  ,S000007493
238256,custodian,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED  ,S000007487
238256,custodian,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED  ,S000007469
238256,custodian,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED  ,S000007459
238262,custodian,BROWN BROTHERS HARRIMAN & CO.                          ,S000007473
238262,custodian,BROWN BROTHERS HARRIMAN & CO.                          ,S000007463
238262,custodian,BROWN BROTHERS HARRIMAN & CO.                          ,S000007493
238262,custodian,BROWN BROTHERS HARRIMAN & CO.                          ,S000007487
238262,custodian,BROWN BROTHERS HARRIMAN & CO.                          ,S000007469
238262,custodian,BROWN BROTHERS HARRIMAN & CO.                          ,S000007459
238269,custodian,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED T,S000007459
238269,custodian,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED T,S000007493
238269,custodian,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED T,S000007487
238269,custodian,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED T,S000007469
238269,custodian,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED T,S000007473
238269,custodian,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED T,S000007463
238275,custodian,STANDARD CHARTERED BANK (SINGAPORE) LIMITED            ,S000007459
238275,custodian,STANDARD CHARTERED BANK (SINGAPORE) LIMITED            ,S000007493
238275,custodian,STANDARD CHARTERED BANK (SINGAPORE) LIMITED            ,S000007487
238275,custodian,STANDARD CHARTERED BANK (SINGAPORE) LIMITED            ,S000007469
238275,custodian,STANDARD CHARTERED BANK (SINGAPORE) LIMITED            ,S000007473
238275,custodian,STANDARD CHARTERED BANK (SINGAPORE) LIMITED            ,S000007463
238281,custodian,SKANDINAVISKA ENSKILDA BANKEN AB (PUBL)                ,S000007459
238281,custodian,SKANDINAVISKA ENSKILDA BANKEN AB (PUBL)                ,S000007493
238281,custodian,SKANDINAVISKA ENSKILDA BANKEN AB (PUBL)                ,S000007487
238281,custodian,SKANDINAVISKA ENSKILDA BANKEN AB (PUBL)                ,S000007469
238281,custodian,SKANDINAVISKA ENSKILDA BANKEN AB (PUBL)                ,S000007473
238281,custodian,SKANDINAVISKA ENSKILDA BANKEN AB (PUBL)                ,S000007463
238287,custodian,HSBC BANK PLC                                          ,S000007459
238287,custodian,HSBC BANK PLC                                          ,S000007493
238287,custodian,HSBC BANK PLC                                          ,S000007487
238287,custodian,HSBC BANK PLC                                          ,S000007469
238287,custodian,HSBC BANK PLC                                          ,S000007473
238287,custodian,HSBC BANK PLC                                          ,S000007463
238293,custodian,CIBC MELLON TRUST COMPANY                              ,S000007459
238293,custodian,CIBC MELLON TRUST COMPANY                              ,S000007493
238293,custodian,CIBC MELLON TRUST COMPANY                              ,S000007487
238293,custodian,CIBC MELLON TRUST COMPANY                              ,S000007469
238293,custodian,CIBC MELLON TRUST COMPANY                              ,S000007473
238293,custodian,CIBC MELLON TRUST COMPANY                              ,S000007463
238299,custodian,DEUTSCHE BANK AG                                       ,S000007459
238299,custodian,DEUTSCHE BANK AG                                       ,S000007493
238299,custodian,DEUTSCHE BANK AG                                       ,S000007487
238299,custodian,DEUTSCHE BANK AG                                       ,S000007469
238299,custodian,DEUTSCHE BANK AG                                       ,S000007473
238299,custodian,DEUTSCHE BANK AG                                       ,S000007463
238305,custodian,BANK HAPOALIM BM                                       ,S000007459
238305,custodian,BANK HAPOALIM BM                                       ,S000007493
238305,custodian,BANK HAPOALIM BM                                       ,S000007487
238305,custodian,BANK HAPOALIM BM                                       ,S000007469
238305,custodian,BANK HAPOALIM BM                                       ,S000007473
238305,custodian,BANK HAPOALIM BM                                       ,S000007463
238311,custodian,RBC INVESTOR SERVICES TRUST                            ,S000007459
238311,custodian,RBC INVESTOR SERVICES TRUST                            ,S000007493
238311,custodian,RBC INVESTOR SERVICES TRUST                            ,S000007487
238311,custodian,RBC INVESTOR SERVICES TRUST                            ,S000007469
238311,custodian,RBC INVESTOR SERVICES TRUST                            ,S000007473
238311,custodian,RBC INVESTOR SERVICES TRUST                            ,S000007463
238317,custodian,BNP PARIBAS S.A.                                       ,S000007459
238317,custodian,BNP PARIBAS S.A.                                       ,S000007493
238317,custodian,BNP PARIBAS S.A.                                       ,S000007487
238317,custodian,BNP PARIBAS S.A.                                       ,S000007469
238317,custodian,BNP PARIBAS S.A.                                       ,S000007473
238317,custodian,BNP PARIBAS S.A.                                       ,S000007463
238323,custodian,CREDIT SUISSE (SWITZERLAND) LTD.                       ,S000007459
238323,custodian,CREDIT SUISSE (SWITZERLAND) LTD.                       ,S000007493
238323,custodian,CREDIT SUISSE (SWITZERLAND) LTD.                       ,S000007487
238323,custodian,CREDIT SUISSE (SWITZERLAND) LTD.                       ,S000007469
238323,custodian,CREDIT SUISSE (SWITZERLAND) LTD.                       ,S000007473
238323,custodian,CREDIT SUISSE (SWITZERLAND) LTD.                       ,S000007463
238329,custodian,HSBC BANK PLC                                          ,S000007459
238329,custodian,HSBC BANK PLC                                          ,S000007493
238329,custodian,HSBC BANK PLC                                          ,S000007487
238329,custodian,HSBC BANK PLC                                          ,S000007469
238329,custodian,HSBC BANK PLC                                          ,S000007473
238329,custodian,HSBC BANK PLC                                          ,S000007463
238335,custodian,CITIBANK ANONIM SIRKETI                                ,S000007459
238335,custodian,CITIBANK ANONIM SIRKETI                                ,S000007493
238335,custodian,CITIBANK ANONIM SIRKETI                                ,S000007487
238335,custodian,CITIBANK ANONIM SIRKETI                                ,S000007469
238335,custodian,CITIBANK ANONIM SIRKETI                                ,S000007473
238335,custodian,CITIBANK ANONIM SIRKETI                                ,S000007463
238341,custodian,SKANDINAVISKA ENSKILDA BANKEN AB (PUBL) DANMARK BRANCH ,S000007459
238341,custodian,SKANDINAVISKA ENSKILDA BANKEN AB (PUBL) DANMARK BRANCH ,S000007493
238341,custodian,SKANDINAVISKA ENSKILDA BANKEN AB (PUBL) DANMARK BRANCH ,S000007487
238341,custodian,SKANDINAVISKA ENSKILDA BANKEN AB (PUBL) DANMARK BRANCH ,S000007469
238341,custodian,SKANDINAVISKA ENSKILDA BANKEN AB (PUBL) DANMARK BRANCH ,S000007473
238341,custodian,SKANDINAVISKA ENSKILDA BANKEN AB (PUBL) DANMARK BRANCH ,S000007463
238347,custodian,MUFG BANK LTD.                                         ,S000007459
238347,custodian,MUFG BANK LTD.                                         ,S000007493
238347,custodian,MUFG BANK LTD.                                         ,S000007487
238347,custodian,MUFG BANK LTD.                                         ,S000007469
238347,custodian,MUFG BANK LTD.                                         ,S000007473
238347,custodian,MUFG BANK LTD.                                         ,S000007463
238353,custodian,STANDARD BANK OF SOUTH AFRICA LIMITED                  ,S000007459
238353,custodian,STANDARD BANK OF SOUTH AFRICA LIMITED                  ,S000007493
238353,custodian,STANDARD BANK OF SOUTH AFRICA LIMITED                  ,S000007487
238353,custodian,STANDARD BANK OF SOUTH AFRICA LIMITED                  ,S000007469
238353,custodian,STANDARD BANK OF SOUTH AFRICA LIMITED                  ,S000007473
238353,custodian,STANDARD BANK OF SOUTH AFRICA LIMITED                  ,S000007463
238359,custodian,STANDARD CHARTERED BANK (CHINA) LIMITED                ,S000007459
238359,custodian,STANDARD CHARTERED BANK (CHINA) LIMITED                ,S000007493
238359,custodian,STANDARD CHARTERED BANK (CHINA) LIMITED                ,S000007487
238359,custodian,STANDARD CHARTERED BANK (CHINA) LIMITED                ,S000007469
238359,custodian,STANDARD CHARTERED BANK (CHINA) LIMITED                ,S000007473
238359,custodian,STANDARD CHARTERED BANK (CHINA) LIMITED                ,S000007463
238365,custodian,HSBC CONTINENTAL EUROPE GREECE                         ,S000007459
238365,custodian,HSBC CONTINENTAL EUROPE GREECE                         ,S000007493
