Unnamed:_0,tags,value,series_id
238149,fundType ,                                                       ,S000007459
238149,fundType ,                                                       ,S000007493
238149,fundType ,                                                       ,S000007487
238149,fundType ,                                                       ,S000007469
238149,fundType ,                                                       ,S000007473
238149,fundType ,                                                       ,S000007463
247647,fundType ,                                                       ,S000007459
247647,fundType ,                                                       ,S000007493
247647,fundType ,                                                       ,S000007487
247647,fundType ,                                                       ,S000007469
247647,fundType ,                                                       ,S000007473
247647,fundType ,                                                       ,S000007463
257112,fundType ,                                                       ,S000007473
257112,fundType ,                                                       ,S000007463
257112,fundType ,                                                       ,S000007493
257112,fundType ,                                                       ,S000007487
257112,fundType ,                                                       ,S000007469
257112,fundType ,                                                       ,S000007459
266672,fundType ,                                                       ,S000007473
266672,fundType ,                                                       ,S000007463
266672,fundType ,                                                       ,S000007493
266672,fundType ,                                                       ,S000007487
266672,fundType ,                                                       ,S000007469
266672,fundType ,                                                       ,S000007459
276204,fundType ,                                                       ,S000007473
276204,fundType ,                                                       ,S000007463
276204,fundType ,                                                       ,S000007493
276204,fundType ,                                                       ,S000007487
276204,fundType ,                                                       ,S000007469
276204,fundType ,                                                       ,S000007459
285640,fundType ,                                                       ,S000007473
285640,fundType ,                                                       ,S000007463
285640,fundType ,                                                       ,S000007493
285640,fundType ,                                                       ,S000007487
285640,fundType ,                                                       ,S000007469
285640,fundType ,                                                       ,S000007459
295240,fundType ,                                                       ,S000007473
295240,fundType ,                                                       ,S000007463
295240,fundType ,                                                       ,S000007493
295240,fundType ,                                                       ,S000007487
295240,fundType ,                                                       ,S000007469
295240,fundType ,                                                       ,S000007459
304790,fundType ,                                                       ,S000007473
304790,fundType ,                                                       ,S000007463
304790,fundType ,                                                       ,S000007493
304790,fundType ,                                                       ,S000007487
304790,fundType ,                                                       ,S000007469
304790,fundType ,                                                       ,S000007459
314358,fundType ,                                                       ,S000007454
314358,fundType ,                                                       ,S000007473
314358,fundType ,                                                       ,S000007463
314358,fundType ,                                                       ,S000007493
314358,fundType ,                                                       ,S000007487
314358,fundType ,                                                       ,S000007469
314358,fundType ,                                                       ,S000007459
93,fundType ,                                                       ,S000010517
122,fundType ,                                                       ,S000010534
133,fundType ,                                                       ,S000069481
205,fundType ,                                                       ,S000015878
253,fundType ,                                                       ,S000069481
264,fundType ,                                                       ,S000012927
264,fundType ,                                                       ,S000012929
264,fundType ,                                                       ,S000012897
264,fundType ,                                                       ,S000037226
264,fundType ,                                                       ,S000037227
272,fundType ,Exchange-Traded Fund                                   ,S000071770
273,fundType ,Index Fund                                             ,S000071770
316,fundType ,Money Market Fund                                      ,S000057630
329,fundType ,Exchange-Traded Fund                                   ,S000054488
329,fundType ,Exchange-Traded Fund                                   ,S000060180
329,fundType ,Exchange-Traded Fund                                   ,S000063668
329,fundType ,Exchange-Traded Fund                                   ,S000074053
343,fundType ,Fund of Funds                                          ,S000005485
343,fundType ,Fund of Funds                                          ,S000077554
343,fundType ,Fund of Funds                                          ,S000005489
343,fundType ,Fund of Funds                                          ,S000034948
343,fundType ,Fund of Funds                                          ,S000004922
343,fundType ,Fund of Funds                                          ,S000005488
343,fundType ,Fund of Funds                                          ,S000068925
343,fundType ,Fund of Funds                                          ,S000072426
371,fundType ,Fund of Funds                                          ,S000040658
372,fundType ,                                                       ,S000005448
372,fundType ,                                                       ,S000005447
372,fundType ,Index Fund                                             ,S000040658
397,fundType ,Index Fund                                             ,S000054519
397,fundType ,Index Fund                                             ,S000017679
397,fundType ,Index Fund                                             ,S000017677
467,fundType ,Index Fund                                             ,S000065248
467,fundType ,Index Fund                                             ,S000006023
475,fundType ,Exchange-Traded Fund                                   ,S000071770
476,fundType ,Index Fund                                             ,S000071770
479,fundType ,                                                       ,S000005485
479,fundType ,                                                       ,S000077554
479,fundType ,                                                       ,S000005489
479,fundType ,                                                       ,S000034948
479,fundType ,                                                       ,S000004922
479,fundType ,                                                       ,S000005488
479,fundType ,                                                       ,S000068925
479,fundType ,                                                       ,S000072426
483,fundType ,Master-Feeder Fund                                     ,S000071770
502,fundType ,Money Market Fund                                      ,S000057630
508,fundType ,                                                       ,S000007473
508,fundType ,                                                       ,S000007463
508,fundType ,                                                       ,S000007493
508,fundType ,                                                       ,S000007487
