Unnamed:_0,tags,value,series_id
217,idemnityP,                                                       ,S000015878
276,idemnityP,E57ODZWZ7FF32TWEFA76                                   ,S000012927
276,idemnityP,E57ODZWZ7FF32TWEFA76                                   ,S000012929
276,idemnityP,E57ODZWZ7FF32TWEFA76                                   ,S000012897
276,idemnityP,E57ODZWZ7FF32TWEFA76                                   ,S000037226
276,idemnityP,E57ODZWZ7FF32TWEFA76                                   ,S000037227
291,idemnityP,549300LRIF3NWCU26A80                                   ,S000071770
339,idemnityP,                                                       ,S000054488
339,idemnityP,                                                       ,S000060180
339,idemnityP,                                                       ,S000063668
339,idemnityP,                                                       ,S000074053
353,idemnityP,                                                       ,S000005485
353,idemnityP,                                                       ,S000077554
353,idemnityP,                                                       ,S000005489
353,idemnityP,                                                       ,S000034948
353,idemnityP,                                                       ,S000004922
353,idemnityP,                                                       ,S000005488
353,idemnityP,                                                       ,S000068925
353,idemnityP,                                                       ,S000072426
415,idemnityP,                                                       ,S000054519
415,idemnityP,                                                       ,S000017679
415,idemnityP,                                                       ,S000017677
485,idemnityP,                                                       ,S000065248
485,idemnityP,                                                       ,S000006023
489,idemnityP,                                                       ,S000005485
489,idemnityP,                                                       ,S000077554
489,idemnityP,                                                       ,S000005489
489,idemnityP,                                                       ,S000034948
489,idemnityP,                                                       ,S000004922
489,idemnityP,                                                       ,S000005488
489,idemnityP,                                                       ,S000068925
489,idemnityP,                                                       ,S000072426
507,idemnityP,549300LRIF3NWCU26A80                                   ,S000071770
520,idemnityP,                                                       ,S000007473
520,idemnityP,                                                       ,S000007463
520,idemnityP,                                                       ,S000007493
520,idemnityP,                                                       ,S000007487
520,idemnityP,                                                       ,S000007481
520,idemnityP,                                                       ,S000007459
520,idemnityP,                                                       ,S000007462
539,idemnityP,                                                       ,S000054488
539,idemnityP,                                                       ,S000060180
539,idemnityP,                                                       ,S000063668
539,idemnityP,                                                       ,S000074053
689,idemnityP,                                                       ,S000057630
702,idemnityP,E57ODZWZ7FF32TWEFA76                                   ,S000012927
702,idemnityP,E57ODZWZ7FF32TWEFA76                                   ,S000012929
702,idemnityP,E57ODZWZ7FF32TWEFA76                                   ,S000012897
702,idemnityP,E57ODZWZ7FF32TWEFA76                                   ,S000037226
702,idemnityP,E57ODZWZ7FF32TWEFA76                                   ,S000037227
714,idemnityP,                                                       ,S000068925
714,idemnityP,                                                       ,S000072426
714,idemnityP,                                                       ,S000005488
714,idemnityP,                                                       ,S000005485
714,idemnityP,                                                       ,S000077554
714,idemnityP,                                                       ,S000005489
714,idemnityP,                                                       ,S000034948
714,idemnityP,                                                       ,S000004922
716,idemnityP,549300LRIF3NWCU26A80                                   ,S000071770
759,idemnityP,                                                       ,S000054488
759,idemnityP,                                                       ,S000060180
759,idemnityP,                                                       ,S000063668
759,idemnityP,                                                       ,S000074053
910,idemnityP,                                                       ,S000068925
910,idemnityP,                                                       ,S000072426
910,idemnityP,                                                       ,S000005488
910,idemnityP,                                                       ,S000005485
910,idemnityP,                                                       ,S000077554
910,idemnityP,                                                       ,S000005489
910,idemnityP,                                                       ,S000034948
910,idemnityP,                                                       ,S000004922
919,idemnityP,549300LRIF3NWCU26A80                                   ,S000071770
946,idemnityP,E57ODZWZ7FF32TWEFA76                                   ,S000012927
946,idemnityP,E57ODZWZ7FF32TWEFA76                                   ,S000012929
946,idemnityP,E57ODZWZ7FF32TWEFA76                                   ,S000012897
946,idemnityP,E57ODZWZ7FF32TWEFA76                                   ,S000037226
946,idemnityP,E57ODZWZ7FF32TWEFA76                                   ,S000037227
1054,idemnityP,                                                       ,S000068925
1054,idemnityP,                                                       ,S000072426
1054,idemnityP,                                                       ,S000005488
1054,idemnityP,                                                       ,S000005485
1054,idemnityP,                                                       ,S000077554
1054,idemnityP,                                                       ,S000005489
1054,idemnityP,                                                       ,S000034948
1054,idemnityP,                                                       ,S000004922
1087,idemnityP,                                                       ,S000057630
1115,idemnityP,549300LRIF3NWCU26A80                                   ,S000071770
1307,idemnityP,549300LRIF3NWCU26A80                                   ,S000071770
1439,idemnityP,                                                       ,S000054488
1439,idemnityP,                                                       ,S000060180
1439,idemnityP,                                                       ,S000063668
1439,idemnityP,                                                       ,S000074053
1463,idemnityP,E57ODZWZ7FF32TWEFA76                                   ,S000037227
1463,idemnityP,E57ODZWZ7FF32TWEFA76                                   ,S000037226
1463,idemnityP,E57ODZWZ7FF32TWEFA76                                   ,S000012927
1463,idemnityP,E57ODZWZ7FF32TWEFA76                                   ,S000012929
1463,idemnityP,E57ODZWZ7FF32TWEFA76                                   ,S000012897
1502,idemnityP,549300LRIF3NWCU26A80                                   ,S000071770
1541,idemnityP,                                                       ,S000005485
1541,idemnityP,                                                       ,S000077554
1541,idemnityP,                                                       ,S000005489
