Unnamed:_0,tags,value,series_id
109,investmen,                                                       ,S000010517
138,investmen,2549000Z9NZBLR054V63                                   ,S000010534
150,investmen,                                                       ,S000069481
237,investmen,EVQ6EP3QESDF386W4D54                                   ,S000015878
271,investmen,                                                       ,S000069481
290,investmen,549300YNO08S1SH3I683                                   ,S000012927
290,investmen,549300YNO08S1SH3I683                                   ,S000012929
290,investmen,549300YNO08S1SH3I683                                   ,S000012897
290,investmen,549300YNO08S1SH3I683                                   ,S000037226
290,investmen,549300YNO08S1SH3I683                                   ,S000037227
318,investmen,549300YOOGP0Y1M95C20                                   ,S000071770
333,investmen,549300W78QHV4XMM6K69                                   ,S000057630
363,investmen,549300W78QHV4XMM6K69                                   ,S000054488
363,investmen,549300W78QHV4XMM6K69                                   ,S000060180
363,investmen,549300W78QHV4XMM6K69                                   ,S000063668
363,investmen,549300W78QHV4XMM6K69                                   ,S000074053
367,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000005485
367,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000077554
367,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000005489
367,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000034948
367,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000004922
367,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000005488
367,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000068925
367,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000072426
393,investmen,5493001Z012YSB2A0K51                                   ,S000005448
393,investmen,5493001Z012YSB2A0K51                                   ,S000005447
400,investmen,5493001Z012YSB2A0K51                                   ,S000040658
437,investmen,5493001Z012YSB2A0K51                                   ,S000054519
437,investmen,5493001Z012YSB2A0K51                                   ,S000017679
437,investmen,5493001Z012YSB2A0K51                                   ,S000017677
504,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000068925
504,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000072426
504,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000005488
504,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000005485
504,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000077554
504,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000005489
504,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000034948
504,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000004922
507,investmen,5493001Z012YSB2A0K51                                   ,S000065248
507,investmen,5493001Z012YSB2A0K51                                   ,S000006023
521,investmen,549300W78QHV4XMM6K69                                   ,S000057630
534,investmen,549300YOOGP0Y1M95C20                                   ,S000071770
542,investmen,5493001Z012YSB2A0K51                                   ,S000007473
542,investmen,5493001Z012YSB2A0K51                                   ,S000007463
542,investmen,5493001Z012YSB2A0K51                                   ,S000007493
542,investmen,5493001Z012YSB2A0K51                                   ,S000007487
542,investmen,5493001Z012YSB2A0K51                                   ,S000007481
542,investmen,5493001Z012YSB2A0K51                                   ,S000007459
542,investmen,5493001Z012YSB2A0K51                                   ,S000007462
562,investmen,549300W78QHV4XMM6K69                                   ,S000060180
562,investmen,549300W78QHV4XMM6K69                                   ,S000063668
562,investmen,549300W78QHV4XMM6K69                                   ,S000074053
562,investmen,549300W78QHV4XMM6K69                                   ,S000054488
711,investmen,549300W78QHV4XMM6K69                                   ,S000057630
716,investmen,549300YNO08S1SH3I683                                   ,S000012927
716,investmen,549300YNO08S1SH3I683                                   ,S000012929
716,investmen,549300YNO08S1SH3I683                                   ,S000012897
716,investmen,549300YNO08S1SH3I683                                   ,S000037226
716,investmen,549300YNO08S1SH3I683                                   ,S000037227
728,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000068925
728,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000072426
728,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000005488
728,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000005485
728,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000077554
728,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000005489
728,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000034948
728,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000004922
743,investmen,549300YOOGP0Y1M95C20                                   ,S000071770
782,investmen,549300W78QHV4XMM6K69                                   ,S000060180
782,investmen,549300W78QHV4XMM6K69                                   ,S000063668
782,investmen,549300W78QHV4XMM6K69                                   ,S000074053
782,investmen,549300W78QHV4XMM6K69                                   ,S000054488
924,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000068925
924,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000072426
924,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000005488
924,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000005485
924,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000077554
924,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000005489
924,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000034948
924,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000004922
946,investmen,549300YOOGP0Y1M95C20                                   ,S000071770
960,investmen,549300YNO08S1SH3I683                                   ,S000012927
960,investmen,549300YNO08S1SH3I683                                   ,S000012929
960,investmen,549300YNO08S1SH3I683                                   ,S000012897
960,investmen,549300YNO08S1SH3I683                                   ,S000037226
960,investmen,549300YNO08S1SH3I683                                   ,S000037227
967,investmen,549300W78QHV4XMM6K69                                   ,S000054488
967,investmen,549300W78QHV4XMM6K69                                   ,S000060180
967,investmen,549300W78QHV4XMM6K69                                   ,S000063668
967,investmen,549300W78QHV4XMM6K69                                   ,S000074053
1070,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000068925
1070,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000072426
1070,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000005488
1070,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000005485
1070,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000077554
1070,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000005489
1070,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000034948
1070,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000004922
1110,investmen,549300W78QHV4XMM6K69                                   ,S000057630
1140,investmen,549300YOOGP0Y1M95C20                                   ,S000071770
1266,investmen,549300YNO08S1SH3I683                                   ,S000012927
1266,investmen,549300YNO08S1SH3I683                                   ,S000012929
1266,investmen,549300YNO08S1SH3I683                                   ,S000012897
1266,investmen,549300YNO08S1SH3I683                                   ,S000037226
1266,investmen,549300YNO08S1SH3I683                                   ,S000037227
1333,investmen,549300YOOGP0Y1M95C20                                   ,S000071770
1464,investmen,549300W78QHV4XMM6K69                                   ,S000060180
1464,investmen,549300W78QHV4XMM6K69                                   ,S000063668
1464,investmen,549300W78QHV4XMM6K69                                   ,S000074053
1464,investmen,549300W78QHV4XMM6K69                                   ,S000054488
1476,investmen,549300YNO08S1SH3I683                                   ,S000012927
1476,investmen,549300YNO08S1SH3I683                                   ,S000012929
1476,investmen,549300YNO08S1SH3I683                                   ,S000012897
1476,investmen,549300YNO08S1SH3I683                                   ,S000037226
1476,investmen,549300YNO08S1SH3I683                                   ,S000037227
1529,investmen,549300YOOGP0Y1M95C20                                   ,S000071770
1557,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000005485
1557,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000077554
1557,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000005489
1557,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000034948
1557,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000004922
1557,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000005488
1557,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000068925
1557,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000072426
1689,investmen,549300W78QHV4XMM6K69                                   ,S000054488
1689,investmen,549300W78QHV4XMM6K69                                   ,S000060180
1689,investmen,549300W78QHV4XMM6K69                                   ,S000063668
1689,investmen,549300W78QHV4XMM6K69                                   ,S000074053
1731,investmen,549300YOOGP0Y1M95C20                                   ,S000071770
1915,investmen,549300W78QHV4XMM6K69                                   ,S000054488
1915,investmen,549300W78QHV4XMM6K69                                   ,S000060180
1915,investmen,549300W78QHV4XMM6K69                                   ,S000063668
1915,investmen,549300W78QHV4XMM6K69                                   ,S000074053
1925,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000005485
1925,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000077554
1925,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000005489
1925,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000034948
1925,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000004922
1925,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000005488
1925,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000068925
1925,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000072426
1933,investmen,549300YOOGP0Y1M95C20                                   ,S000071770
2038,investmen,549300YNO08S1SH3I683                                   ,S000012927
2038,investmen,549300YNO08S1SH3I683                                   ,S000012929
2038,investmen,549300YNO08S1SH3I683                                   ,S000012897
2038,investmen,549300YNO08S1SH3I683                                   ,S000037226
2038,investmen,549300YNO08S1SH3I683                                   ,S000037227
2122,investmen,549300W78QHV4XMM6K69                                   ,S000060180
2122,investmen,549300W78QHV4XMM6K69                                   ,S000063668
2122,investmen,549300W78QHV4XMM6K69                                   ,S000074053
2122,investmen,549300W78QHV4XMM6K69                                   ,S000054488
2148,investmen,549300YOOGP0Y1M95C20                                   ,S000004361
2148,investmen,549300YOOGP0Y1M95C20                                   ,S000071770
2278,investmen,549300YNO08S1SH3I683                                   ,S000012927
2278,investmen,549300YNO08S1SH3I683                                   ,S000012929
2278,investmen,549300YNO08S1SH3I683                                   ,S000012897
2278,investmen,549300YNO08S1SH3I683                                   ,S000037226
2278,investmen,549300YNO08S1SH3I683                                   ,S000037227
2285,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000005485
2285,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000077554
2285,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000005489
2285,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000034948
2285,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000004922
2285,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000005488
2285,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000068925
2285,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000072426
2301,investmen,549300W78QHV4XMM6K69                                   ,S000054488
2301,investmen,549300W78QHV4XMM6K69                                   ,S000060180
2301,investmen,549300W78QHV4XMM6K69                                   ,S000063668
2301,investmen,549300W78QHV4XMM6K69                                   ,S000074053
2348,investmen,549300YOOGP0Y1M95C20                                   ,S000004361
2348,investmen,549300YOOGP0Y1M95C20                                   ,S000071770
2467,investmen,549300W78QHV4XMM6K69                                   ,S000054488
2467,investmen,549300W78QHV4XMM6K69                                   ,S000060180
2467,investmen,549300W78QHV4XMM6K69                                   ,S000063668
2467,investmen,549300W78QHV4XMM6K69                                   ,S000074053
2543,investmen,549300YOOGP0Y1M95C20                                   ,S000004361
2543,investmen,549300YOOGP0Y1M95C20                                   ,S000071770
2550,investmen,549300YNO08S1SH3I683                                   ,S000012927
2550,investmen,549300YNO08S1SH3I683                                   ,S000012929
2550,investmen,549300YNO08S1SH3I683                                   ,S000012897
2550,investmen,549300YNO08S1SH3I683                                   ,S000037226
2550,investmen,549300YNO08S1SH3I683                                   ,S000037227
2601,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000005485
2601,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000077554
2601,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000005489
2601,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000034948
2601,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000004922
2601,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000005488
2601,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000068925
2601,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000072426
2742,investmen,549300YNO08S1SH3I683                                   ,S000012927
2742,investmen,549300YNO08S1SH3I683                                   ,S000012929
2742,investmen,549300YNO08S1SH3I683                                   ,S000012897
2742,investmen,549300YNO08S1SH3I683                                   ,S000037226
2742,investmen,549300YNO08S1SH3I683                                   ,S000037227
2752,investmen,549300YOOGP0Y1M95C20                                   ,S000004361
2752,investmen,549300YOOGP0Y1M95C20                                   ,S000071770
2932,investmen,549300YNO08S1SH3I683                                   ,S000012927
2932,investmen,549300YNO08S1SH3I683                                   ,S000012929
2932,investmen,549300YNO08S1SH3I683                                   ,S000012897
2932,investmen,549300YNO08S1SH3I683                                   ,S000037226
2932,investmen,549300YNO08S1SH3I683                                   ,S000037227
2973,investmen,549300YOOGP0Y1M95C20                                   ,S000004361
2973,investmen,549300YOOGP0Y1M95C20                                   ,S000071770
3007,investmen,549300W78QHV4XMM6K69                                   ,S000054488
3007,investmen,549300W78QHV4XMM6K69                                   ,S000060180
3007,investmen,549300W78QHV4XMM6K69                                   ,S000063668
3007,investmen,549300W78QHV4XMM6K69                                   ,S000074053
3110,investmen,549300YNO08S1SH3I683                                   ,S000012927
3110,investmen,549300YNO08S1SH3I683                                   ,S000012929
3110,investmen,549300YNO08S1SH3I683                                   ,S000012897
3110,investmen,549300YNO08S1SH3I683                                   ,S000037226
3110,investmen,549300YNO08S1SH3I683                                   ,S000037227
3180,investmen,549300YOOGP0Y1M95C20                                   ,S000004361
3180,investmen,549300YOOGP0Y1M95C20                                   ,S000071770
3243,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000005485
3243,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000077554
3243,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000005489
3243,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000034948
3243,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000004922
3243,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000005488
3243,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000068925
3243,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000072426
3245,investmen,549300W78QHV4XMM6K69                                   ,S000054488
3245,investmen,549300W78QHV4XMM6K69                                   ,S000060180
3245,investmen,549300W78QHV4XMM6K69                                   ,S000063668
3245,investmen,549300W78QHV4XMM6K69                                   ,S000074053
3315,investmen,549300YNO08S1SH3I683                                   ,S000037227
3315,investmen,549300YNO08S1SH3I683                                   ,S000037226
3315,investmen,549300YNO08S1SH3I683                                   ,S000012927
3315,investmen,549300YNO08S1SH3I683                                   ,S000012929
3315,investmen,549300YNO08S1SH3I683                                   ,S000012897
3390,investmen,549300YOOGP0Y1M95C20                                   ,S000004361
3390,investmen,549300YOOGP0Y1M95C20                                   ,S000071770
3458,investmen,549300YNO08S1SH3I683                                   ,S000012927
3458,investmen,549300YNO08S1SH3I683                                   ,S000012929
3458,investmen,549300YNO08S1SH3I683                                   ,S000012897
3458,investmen,549300YNO08S1SH3I683                                   ,S000037226
3458,investmen,549300YNO08S1SH3I683                                   ,S000037227
3593,investmen,549300YOOGP0Y1M95C20                                   ,S000004361
3593,investmen,549300YOOGP0Y1M95C20                                   ,S000071770
3652,investmen,549300YNO08S1SH3I683                                   ,S000012927
3652,investmen,549300YNO08S1SH3I683                                   ,S000012929
3652,investmen,549300YNO08S1SH3I683                                   ,S000012897
3652,investmen,549300YNO08S1SH3I683                                   ,S000037226
3652,investmen,549300YNO08S1SH3I683                                   ,S000037227
3760,investmen,549300W78QHV4XMM6K69                                   ,S000060180
3760,investmen,549300W78QHV4XMM6K69                                   ,S000063668
3760,investmen,549300W78QHV4XMM6K69                                   ,S000074053
3760,investmen,549300W78QHV4XMM6K69                                   ,S000054488
3800,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000068925
3800,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000072426
3800,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000005488
3800,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000005485
3800,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000077554
3800,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000005489
3800,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000034948
3800,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000004922
3802,investmen,549300YOOGP0Y1M95C20                                   ,S000004361
3802,investmen,549300YOOGP0Y1M95C20                                   ,S000071770
4005,investmen,549300YOOGP0Y1M95C20                                   ,S000004361
4005,investmen,549300YOOGP0Y1M95C20                                   ,S000071770
4011,investmen,549300YNO08S1SH3I683                                   ,S000037227
4011,investmen,549300YNO08S1SH3I683                                   ,S000037226
4011,investmen,549300YNO08S1SH3I683                                   ,S000012927
4011,investmen,549300YNO08S1SH3I683                                   ,S000012929
4011,investmen,549300YNO08S1SH3I683                                   ,S000012897
4213,investmen,549300YNO08S1SH3I683                                   ,S000037227
4213,investmen,549300YNO08S1SH3I683                                   ,S000037226
4213,investmen,549300YNO08S1SH3I683                                   ,S000012927
4213,investmen,549300YNO08S1SH3I683                                   ,S000012929
4213,investmen,549300YNO08S1SH3I683                                   ,S000012897
4214,investmen,549300YOOGP0Y1M95C20                                   ,S000004361
4214,investmen,549300YOOGP0Y1M95C20                                   ,S000071770
4218,investmen,549300W78QHV4XMM6K69                                   ,S000060180
4218,investmen,549300W78QHV4XMM6K69                                   ,S000063668
4218,investmen,549300W78QHV4XMM6K69                                   ,S000074053
4218,investmen,549300W78QHV4XMM6K69                                   ,S000054488
4222,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000068925
4222,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000072426
4222,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000005488
4222,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000005485
4222,investmen,KG0ECHUB6SFORDPJZK65                                   ,S000077554
