Unnamed:_0,tags,value,series_id
85,mgmtInvLe,549300GO6NCNZW5LQA37                                   ,S000010517
114,mgmtInvLe,549300HDMTXCZLRS6H63                                   ,S000010534
125,mgmtInvLe,54930011NRTTTC7QRD33                                   ,S000069481
197,mgmtInvLe,54930056NJ1FRH4T9924                                   ,S000015878
245,mgmtInvLe,549300U60O75JGNNWC07                                   ,S000069481
256,mgmtInvLe,549300RN6ZYPTMPMQJ29                                   ,S000012927
256,mgmtInvLe,549300RN6ZYPTMPMQJ29                                   ,S000012929
256,mgmtInvLe,549300RN6ZYPTMPMQJ29                                   ,S000012897
256,mgmtInvLe,549300RN6ZYPTMPMQJ29                                   ,S000037226
256,mgmtInvLe,549300RN6ZYPTMPMQJ29                                   ,S000037227
264,mgmtInvLe,54930076RN5EDP4FSR30                                   ,S000071770
308,mgmtInvLe,5493002FD4HXUJXMRO62                                   ,S000057630
321,mgmtInvLe,549300C27W430AWFZC05                                   ,S000054488
321,mgmtInvLe,549300C27W430AWFZC05                                   ,S000060180
321,mgmtInvLe,549300C27W430AWFZC05                                   ,S000063668
321,mgmtInvLe,549300C27W430AWFZC05                                   ,S000074053
329,mgmtInvLe,JRNL37IR41Z4BPODHW20                                   ,S000005485
329,mgmtInvLe,JRNL37IR41Z4BPODHW20                                   ,S000077554
329,mgmtInvLe,JRNL37IR41Z4BPODHW20                                   ,S000005489
329,mgmtInvLe,JRNL37IR41Z4BPODHW20                                   ,S000034948
329,mgmtInvLe,JRNL37IR41Z4BPODHW20                                   ,S000004922
329,mgmtInvLe,JRNL37IR41Z4BPODHW20                                   ,S000005488
329,mgmtInvLe,JRNL37IR41Z4BPODHW20                                   ,S000068925
329,mgmtInvLe,JRNL37IR41Z4BPODHW20                                   ,S000072426
363,mgmtInvLe,SMVYD67QFCMOZKTJ2N09                                   ,S000040658
364,mgmtInvLe,CGZRC0U3V82YN7YY6O28                                   ,S000005448
364,mgmtInvLe,CGZRC0U3V82YN7YY6O28                                   ,S000005447
389,mgmtInvLe,549300L5U1ZY9BNN8U75                                   ,S000054519
389,mgmtInvLe,549300L5U1ZY9BNN8U75                                   ,S000017679
389,mgmtInvLe,549300L5U1ZY9BNN8U75                                   ,S000017677
459,mgmtInvLe,J2YQ0QGUOWUYIKE4AX60                                   ,S000065248
459,mgmtInvLe,J2YQ0QGUOWUYIKE4AX60                                   ,S000006023
467,mgmtInvLe,549300T14S5IX7V5T008                                   ,S000071770
471,mgmtInvLe,5493003UZ8Q1SLUPQX65                                   ,S000005485
471,mgmtInvLe,5493003UZ8Q1SLUPQX65                                   ,S000077554
471,mgmtInvLe,5493003UZ8Q1SLUPQX65                                   ,S000005489
471,mgmtInvLe,5493003UZ8Q1SLUPQX65                                   ,S000034948
471,mgmtInvLe,5493003UZ8Q1SLUPQX65                                   ,S000004922
471,mgmtInvLe,5493003UZ8Q1SLUPQX65                                   ,S000005488
471,mgmtInvLe,5493003UZ8Q1SLUPQX65                                   ,S000068925
471,mgmtInvLe,5493003UZ8Q1SLUPQX65                                   ,S000072426
485,mgmtInvLe,549300UURKD5II8M6J91                                   ,S000057630
500,mgmtInvLe,FS8LFFVCCRDRE4GVWH41                                   ,S000007473
500,mgmtInvLe,FS8LFFVCCRDRE4GVWH41                                   ,S000007463
500,mgmtInvLe,FS8LFFVCCRDRE4GVWH41                                   ,S000007493
500,mgmtInvLe,FS8LFFVCCRDRE4GVWH41                                   ,S000007487
500,mgmtInvLe,FS8LFFVCCRDRE4GVWH41                                   ,S000007481
500,mgmtInvLe,FS8LFFVCCRDRE4GVWH41                                   ,S000007459
500,mgmtInvLe,FS8LFFVCCRDRE4GVWH41                                   ,S000007462
521,mgmtInvLe,549300KU2F2QTTPINB11                                   ,S000054488
521,mgmtInvLe,549300KU2F2QTTPINB11                                   ,S000060180
521,mgmtInvLe,549300KU2F2QTTPINB11                                   ,S000063668
521,mgmtInvLe,549300KU2F2QTTPINB11                                   ,S000074053
668,mgmtInvLe,5493003CSG7YGNPXR746                                   ,S000057630
682,mgmtInvLe,549300PX92BOQGUXP851                                   ,S000012927
682,mgmtInvLe,549300PX92BOQGUXP851                                   ,S000012929
682,mgmtInvLe,549300PX92BOQGUXP851                                   ,S000012897
682,mgmtInvLe,549300PX92BOQGUXP851                                   ,S000037226
682,mgmtInvLe,549300PX92BOQGUXP851                                   ,S000037227
689,mgmtInvLe,549300MH5J7BUV0VS287                                   ,S000071770
690,mgmtInvLe,549300BRUDL08K13VQ63                                   ,S000068925
690,mgmtInvLe,549300BRUDL08K13VQ63                                   ,S000072426
690,mgmtInvLe,549300BRUDL08K13VQ63                                   ,S000005488
690,mgmtInvLe,549300BRUDL08K13VQ63                                   ,S000005485
690,mgmtInvLe,549300BRUDL08K13VQ63                                   ,S000077554
690,mgmtInvLe,549300BRUDL08K13VQ63                                   ,S000005489
690,mgmtInvLe,549300BRUDL08K13VQ63                                   ,S000034948
