Unnamed:_0,tags,value,series_id
238140,mgmtInvSe,S000007472                                             ,S000007473
238140,mgmtInvSe,S000007472                                             ,S000007463
238140,mgmtInvSe,S000007472                                             ,S000007493
238140,mgmtInvSe,S000007472                                             ,S000007487
238140,mgmtInvSe,S000007472                                             ,S000007469
238140,mgmtInvSe,S000007472                                             ,S000007459
247638,mgmtInvSe,S000007493                                             ,S000007473
247638,mgmtInvSe,S000007493                                             ,S000007463
247638,mgmtInvSe,S000007493                                             ,S000007493
247638,mgmtInvSe,S000007493                                             ,S000007487
247638,mgmtInvSe,S000007493                                             ,S000007469
247638,mgmtInvSe,S000007493                                             ,S000007459
257103,mgmtInvSe,S000007488                                             ,S000007459
257103,mgmtInvSe,S000007488                                             ,S000007493
257103,mgmtInvSe,S000007488                                             ,S000007487
257103,mgmtInvSe,S000007488                                             ,S000007469
257103,mgmtInvSe,S000007488                                             ,S000007473
257103,mgmtInvSe,S000007488                                             ,S000007463
266648,mgmtInvSe,S000007465                                             ,S000007473
266648,mgmtInvSe,S000007465                                             ,S000007463
266648,mgmtInvSe,S000007465                                             ,S000007493
266648,mgmtInvSe,S000007465                                             ,S000007487
266648,mgmtInvSe,S000007465                                             ,S000007469
266648,mgmtInvSe,S000007465                                             ,S000007459
276195,mgmtInvSe,S000007456                                             ,S000007469
276195,mgmtInvSe,S000007456                                             ,S000007459
276195,mgmtInvSe,S000007456                                             ,S000007493
276195,mgmtInvSe,S000007456                                             ,S000007487
276195,mgmtInvSe,S000007456                                             ,S000007473
276195,mgmtInvSe,S000007456                                             ,S000007463
285631,mgmtInvSe,S000007462                                             ,S000007469
285631,mgmtInvSe,S000007462                                             ,S000007459
285631,mgmtInvSe,S000007462                                             ,S000007493
285631,mgmtInvSe,S000007462                                             ,S000007487
285631,mgmtInvSe,S000007462                                             ,S000007473
285631,mgmtInvSe,S000007462                                             ,S000007463
295231,mgmtInvSe,S000007454                                             ,S000007469
295231,mgmtInvSe,S000007454                                             ,S000007459
295231,mgmtInvSe,S000007454                                             ,S000007493
295231,mgmtInvSe,S000007454                                             ,S000007487
295231,mgmtInvSe,S000007454                                             ,S000007473
295231,mgmtInvSe,S000007454                                             ,S000007463
304766,mgmtInvSe,S000007463                                             ,S000007473
304766,mgmtInvSe,S000007463                                             ,S000007463
304766,mgmtInvSe,S000007463                                             ,S000007493
304766,mgmtInvSe,S000007463                                             ,S000007487
304766,mgmtInvSe,S000007463                                             ,S000007469
304766,mgmtInvSe,S000007463                                             ,S000007459
314349,mgmtInvSe,S000007492                                             ,S000007469
314349,mgmtInvSe,S000007492                                             ,S000007459
314349,mgmtInvSe,S000007492                                             ,S000007493
314349,mgmtInvSe,S000007492                                             ,S000007487
314349,mgmtInvSe,S000007492                                             ,S000007454
314349,mgmtInvSe,S000007492                                             ,S000007473
314349,mgmtInvSe,S000007492                                             ,S000007463
84,mgmtInvSe,S000075609                                             ,S000010517
113,mgmtInvSe,S000010534                                             ,S000010534
124,mgmtInvSe,S000069480                                             ,S000069481
196,mgmtInvSe,S000015878                                             ,S000015878
244,mgmtInvSe,S000069481                                             ,S000069481
255,mgmtInvSe,S000012926                                             ,S000037227
255,mgmtInvSe,S000012926                                             ,S000037226
255,mgmtInvSe,S000012926                                             ,S000012927
255,mgmtInvSe,S000012926                                             ,S000012929
255,mgmtInvSe,S000012926                                             ,S000012897
263,mgmtInvSe,S000023506                                             ,S000071770
307,mgmtInvSe,S000063113                                             ,S000057630
320,mgmtInvSe,S000063269                                             ,S000060180
320,mgmtInvSe,S000063269                                             ,S000063668
320,mgmtInvSe,S000063269                                             ,S000074053
320,mgmtInvSe,S000063269                                             ,S000054488
