Unnamed:_0,tags,value,series_id
95,principal,                                                       ,S000010534
106,principal,                                                       ,S000069481
178,principal,549300ZP8XN77GK5BS04                                   ,S000015878
193,principal,54930061FBHCKXL2G714                                   ,S000071770
237,principal,5493007YCZV03392KX12                                   ,S000037227
237,principal,5493007YCZV03392KX12                                   ,S000037226
237,principal,5493007YCZV03392KX12                                   ,S000012927
237,principal,5493007YCZV03392KX12                                   ,S000012929
237,principal,5493007YCZV03392KX12                                   ,S000012897
287,principal,                                                       ,S000057630
294,principal,                                                       ,S000060180
294,principal,                                                       ,S000063668
294,principal,                                                       ,S000074053
294,principal,                                                       ,S000054488
344,principal,                                                       ,S000040658
345,principal,                                                       ,S000005448
345,principal,                                                       ,S000005447
365,principal,                                                       ,S000054519
365,principal,                                                       ,S000017679
365,principal,                                                       ,S000017677
435,principal,                                                       ,S000065248
435,principal,                                                       ,S000006023
481,principal,                                                       ,S000007459
481,principal,                                                       ,S000007462
481,principal,                                                       ,S000007487
481,principal,                                                       ,S000007481
481,principal,                                                       ,S000007473
481,principal,                                                       ,S000007463
481,principal,                                                       ,S000007493
