Unnamed:_0,tags,value,series_id
92,principal,"Ultimus Fund Distributors, LLC                         ",S000010534
103,principal,"Ultimus Fund Distributors, LLC                         ",S000069481
175,principal,"Charles Schwab & Co., Inc.                             ",S000015878
190,principal,"BlackRock Investments, LLC                             ",S000071770
234,principal,"Victory Capital Services, Inc.                         ",S000012927
234,principal,"Victory Capital Services, Inc.                         ",S000012929
234,principal,"Victory Capital Services, Inc.                         ",S000012897
234,principal,"Victory Capital Services, Inc.                         ",S000037226
234,principal,"Victory Capital Services, Inc.                         ",S000037227
284,principal,"JPMorgan Distribution Services, Inc.                   ",S000057630
291,principal,"JPMorgan Distribution Services, Inc.                   ",S000054488
291,principal,"JPMorgan Distribution Services, Inc.                   ",S000060180
291,principal,"JPMorgan Distribution Services, Inc.                   ",S000063668
291,principal,"JPMorgan Distribution Services, Inc.                   ",S000074053
341,principal,Fidelity Distributors Company LLC                      ,S000040658
342,principal,Fidelity Distributors Company LLC                      ,S000005448
342,principal,Fidelity Distributors Company LLC                      ,S000005447
362,principal,Fidelity Distributors Company LLC                      ,S000017679
362,principal,Fidelity Distributors Company LLC                      ,S000017677
362,principal,Fidelity Distributors Company LLC                      ,S000054519
432,principal,Fidelity Distributors Company LLC                      ,S000006023
432,principal,Fidelity Distributors Company LLC                      ,S000065248
478,principal,Fidelity Distributors Company LLC                      ,S000007473
478,principal,Fidelity Distributors Company LLC                      ,S000007463
478,principal,Fidelity Distributors Company LLC                      ,S000007493
478,principal,Fidelity Distributors Company LLC                      ,S000007487
478,principal,Fidelity Distributors Company LLC                      ,S000007481
478,principal,Fidelity Distributors Company LLC                      ,S000007459
478,principal,Fidelity Distributors Company LLC                      ,S000007462
