Unnamed:_0,tags,value,series_id
71,publicAcc,EisnerAmper LLP                                        ,S000010517
100,publicAcc,"Cohen & Company, Ltd.                                  ",S000010534
111,publicAcc,"Cohen and Company, Ltd.                                ",S000069481
183,publicAcc,Deloitte & Touche LLP                                  ,S000015878
198,publicAcc,PricewaterhouseCoopers LLP                             ,S000071770
242,publicAcc,Ernst & Young LLP                                      ,S000012927
242,publicAcc,Ernst & Young LLP                                      ,S000012929
242,publicAcc,Ernst & Young LLP                                      ,S000012897
242,publicAcc,Ernst & Young LLP                                      ,S000037226
242,publicAcc,Ernst & Young LLP                                      ,S000037227
253,publicAcc,PricewaterhouseCoopers LLP                             ,S000005485
253,publicAcc,PricewaterhouseCoopers LLP                             ,S000077554
253,publicAcc,PricewaterhouseCoopers LLP                             ,S000005489
253,publicAcc,PricewaterhouseCoopers LLP                             ,S000034948
253,publicAcc,PricewaterhouseCoopers LLP                             ,S000004922
253,publicAcc,PricewaterhouseCoopers LLP                             ,S000005488
253,publicAcc,PricewaterhouseCoopers LLP                             ,S000068925
253,publicAcc,PricewaterhouseCoopers LLP                             ,S000072426
292,publicAcc,PricewaterhouseCoopers LLP                             ,S000057630
299,publicAcc,PricewaterhouseCoopers LLP                             ,S000054488
299,publicAcc,PricewaterhouseCoopers LLP                             ,S000060180
299,publicAcc,PricewaterhouseCoopers LLP                             ,S000063668
299,publicAcc,PricewaterhouseCoopers LLP                             ,S000074053
349,publicAcc,PricewaterhouseCoopers LLP                             ,S000040658
350,publicAcc,PricewaterhouseCoopers LLP                             ,S000005448
350,publicAcc,PricewaterhouseCoopers LLP                             ,S000005447
370,publicAcc,PricewaterhouseCoopers LLP                             ,S000017679
370,publicAcc,PricewaterhouseCoopers LLP                             ,S000017677
370,publicAcc,PricewaterhouseCoopers LLP                             ,S000054519
375,publicAcc,Deloitte & Touche LLP                                  ,S000054519
375,publicAcc,Deloitte & Touche LLP                                  ,S000017679
375,publicAcc,Deloitte & Touche LLP                                  ,S000017677
440,publicAcc,PricewaterhouseCoopers LLP                             ,S000006023
440,publicAcc,PricewaterhouseCoopers LLP                             ,S000065248
445,publicAcc,Deloitte & Touche LLP                                  ,S000065248
445,publicAcc,Deloitte & Touche LLP                                  ,S000006023
486,publicAcc,PricewaterhouseCoopers LLP                             ,S000007473
486,publicAcc,PricewaterhouseCoopers LLP                             ,S000007463
486,publicAcc,PricewaterhouseCoopers LLP                             ,S000007493
486,publicAcc,PricewaterhouseCoopers LLP                             ,S000007487
486,publicAcc,PricewaterhouseCoopers LLP                             ,S000007481
486,publicAcc,PricewaterhouseCoopers LLP                             ,S000007459
486,publicAcc,PricewaterhouseCoopers LLP                             ,S000007462
