Unnamed:_0,tags,value,series_id
13,registran,Centaur Mutual Funds Trust                             ,S000010517
15,registran,Fidelity California Municipal Trust                    ,S000005448
15,registran,Waycross Independent Trust                             ,S000069481
15,registran,Fidelity California Municipal Trust                    ,S000005447
15,registran,CM Advisors Family of Funds                            ,S000010534
16,registran,SCHWAB INVESTMENTS                                     ,S000015878
16,registran,Fidelity Aberdeen Street Trust                         ,S000040658
24,registran,JPMorgan Trust IV                                      ,S000057630
26,registran,Fidelity Concord Street Trust                          ,S000006023
26,registran,Fidelity Salem Street Trust                            ,S000017679
26,registran,Fidelity Salem Street Trust                            ,S000017677
26,registran,Fidelity Salem Street Trust                            ,S000054519
26,registran,Fidelity Concord Street Trust                          ,S000065248
44,registran,J.P. Morgan Exchange-Traded Fund Trust                 ,S000060180
44,registran,J.P. Morgan Exchange-Traded Fund Trust                 ,S000063668
44,registran,J.P. Morgan Exchange-Traded Fund Trust                 ,S000074053
44,registran,J.P. Morgan Exchange-Traded Fund Trust                 ,S000054488
82,registran,iShares Trust                                          ,S000071770
82,registran,Fidelity Select Portfolios                             ,S000007473
82,registran,Fidelity Select Portfolios                             ,S000007463
82,registran,Fidelity Select Portfolios                             ,S000007493
82,registran,Fidelity Select Portfolios                             ,S000007487
82,registran,Fidelity Select Portfolios                             ,S000007481
82,registran,Fidelity Select Portfolios                             ,S000007459
82,registran,Fidelity Select Portfolios                             ,S000007462
83,registran,Victory Portfolios III                                 ,S000037227
83,registran,Victory Portfolios III                                 ,S000037226
83,registran,Victory Portfolios III                                 ,S000012927
83,registran,Victory Portfolios III                                 ,S000012929
83,registran,Victory Portfolios III                                 ,S000012897
190,registran,GMO TRUST                                              ,S000068925
190,registran,GMO TRUST                                              ,S000072426
190,registran,GMO TRUST                                              ,S000005488
190,registran,GMO TRUST                                              ,S000005485
190,registran,GMO TRUST                                              ,S000077554
190,registran,GMO TRUST                                              ,S000005489
190,registran,GMO TRUST                                              ,S000034948
190,registran,GMO TRUST                                              ,S000004922
