Unnamed:_0,tags,value,series_id
18,registran,New York                                               ,S000010517
20,registran,Boston                                                 ,S000005448
20,registran,Boston                                                 ,S000005447
21,registran,Boston                                                 ,S000040658
21,registran,SAN FRANCISCO                                          ,S000015878
21,registran,Cincinnati                                             ,S000069481
21,registran,Austin                                                 ,S000010534
29,registran,New York                                               ,S000057630
31,registran,Boston                                                 ,S000065248
31,registran,Boston                                                 ,S000054519
31,registran,Boston                                                 ,S000006023
31,registran,Boston                                                 ,S000017679
31,registran,Boston                                                 ,S000017677
49,registran,New York                                               ,S000054488
49,registran,New York                                               ,S000060180
49,registran,New York                                               ,S000063668
49,registran,New York                                               ,S000074053
87,registran,Boston                                                 ,S000007459
87,registran,Boston                                                 ,S000007462
87,registran,Boston                                                 ,S000007487
87,registran,Boston                                                 ,S000007481
87,registran,San Francisco                                          ,S000071770
87,registran,Boston                                                 ,S000007473
87,registran,Boston                                                 ,S000007463
87,registran,Boston                                                 ,S000007493
89,registran,San Antonio                                            ,S000037227
89,registran,San Antonio                                            ,S000037226
89,registran,San Antonio                                            ,S000012927
89,registran,San Antonio                                            ,S000012929
89,registran,San Antonio                                            ,S000012897
195,registran,BOSTON                                                 ,S000005485
195,registran,BOSTON                                                 ,S000077554
195,registran,BOSTON                                                 ,S000005489
195,registran,BOSTON                                                 ,S000034948
195,registran,BOSTON                                                 ,S000004922
195,registran,BOSTON                                                 ,S000005488
195,registran,BOSTON                                                 ,S000068925
195,registran,BOSTON                                                 ,S000072426
