Unnamed:_0,tags,value,series_id
21,registran,US                                                     ,S000010517
23,registran,US                                                     ,S000005448
23,registran,US                                                     ,S000005447
24,registran,US                                                     ,S000015878
24,registran,US                                                     ,S000069481
24,registran,US                                                     ,S000010534
24,registran,US                                                     ,S000040658
32,registran,US                                                     ,S000057630
34,registran,US                                                     ,S000006023
34,registran,US                                                     ,S000017679
34,registran,US                                                     ,S000017677
34,registran,US                                                     ,S000054519
34,registran,US                                                     ,S000065248
52,registran,US                                                     ,S000060180
52,registran,US                                                     ,S000063668
52,registran,US                                                     ,S000074053
52,registran,US                                                     ,S000054488
90,registran,US                                                     ,S000071770
90,registran,US                                                     ,S000007473
90,registran,US                                                     ,S000007463
90,registran,US                                                     ,S000007493
90,registran,US                                                     ,S000007487
90,registran,US                                                     ,S000007481
90,registran,US                                                     ,S000007459
90,registran,US                                                     ,S000007462
92,registran,US                                                     ,S000012927
92,registran,US                                                     ,S000012929
92,registran,US                                                     ,S000012897
92,registran,US                                                     ,S000037226
92,registran,US                                                     ,S000037227
198,registran,US                                                     ,S000068925
198,registran,US                                                     ,S000072426
198,registran,US                                                     ,S000005488
198,registran,US                                                     ,S000005485
198,registran,US                                                     ,S000077554
198,registran,US                                                     ,S000005489
198,registran,US                                                     ,S000034948
198,registran,US                                                     ,S000004922
