Unnamed:_0,tags,value,series_id
20,registran,US-NY                                                  ,S000010517
22,registran,US-MA                                                  ,S000005448
22,registran,US-MA                                                  ,S000005447
23,registran,US-MA                                                  ,S000040658
23,registran,US-CA                                                  ,S000015878
23,registran,US-OH                                                  ,S000069481
23,registran,US-TX                                                  ,S000010534
31,registran,US-NY                                                  ,S000057630
33,registran,US-MA                                                  ,S000065248
33,registran,US-MA                                                  ,S000054519
33,registran,US-MA                                                  ,S000006023
33,registran,US-MA                                                  ,S000017679
33,registran,US-MA                                                  ,S000017677
51,registran,US-NY                                                  ,S000054488
51,registran,US-NY                                                  ,S000060180
51,registran,US-NY                                                  ,S000063668
51,registran,US-NY                                                  ,S000074053
89,registran,US-MA                                                  ,S000007459
89,registran,US-MA                                                  ,S000007462
89,registran,US-MA                                                  ,S000007487
89,registran,US-MA                                                  ,S000007481
89,registran,US-CA                                                  ,S000071770
89,registran,US-MA                                                  ,S000007473
89,registran,US-MA                                                  ,S000007463
89,registran,US-MA                                                  ,S000007493
91,registran,US-TX                                                  ,S000037227
91,registran,US-TX                                                  ,S000037226
91,registran,US-TX                                                  ,S000012927
91,registran,US-TX                                                  ,S000012929
91,registran,US-TX                                                  ,S000012897
197,registran,US-MA                                                  ,S000005485
197,registran,US-MA                                                  ,S000077554
197,registran,US-MA                                                  ,S000005489
197,registran,US-MA                                                  ,S000034948
197,registran,US-MA                                                  ,S000004922
197,registran,US-MA                                                  ,S000005488
197,registran,US-MA                                                  ,S000068925
197,registran,US-MA                                                  ,S000072426
