Unnamed:_0,tags,value,series_id
17,registran,"33 Whitehall Street, 11th Floor                        ",S000010517
19,registran,245 Summer Street                                      ,S000005448
19,registran,225 Pictoria Drive                                     ,S000069481
19,registran,245 Summer Street                                      ,S000005447
19,registran,805 Las Cimas Parkway                                  ,S000010534
20,registran,211 MAIN STREET                                        ,S000015878
20,registran,245 Summer Street                                      ,S000040658
28,registran,277 Park Avenue                                        ,S000057630
30,registran,245 Summer Street                                      ,S000006023
30,registran,245 Summer Street                                      ,S000017679
30,registran,245 Summer Street                                      ,S000017677
30,registran,245 Summer Street                                      ,S000054519
30,registran,245 Summer Street                                      ,S000065248
48,registran,277 Park Avenue                                        ,S000060180
48,registran,277 Park Avenue                                        ,S000063668
48,registran,277 Park Avenue                                        ,S000074053
48,registran,277 Park Avenue                                        ,S000054488
86,registran,400 Howard Street                                      ,S000071770
86,registran,245 Summer Street                                      ,S000007473
86,registran,245 Summer Street                                      ,S000007463
86,registran,245 Summer Street                                      ,S000007493
86,registran,245 Summer Street                                      ,S000007487
86,registran,245 Summer Street                                      ,S000007481
86,registran,245 Summer Street                                      ,S000007459
86,registran,245 Summer Street                                      ,S000007462
87,registran,15935 La Cantera Parkway                               ,S000037227
87,registran,15935 La Cantera Parkway                               ,S000037226
87,registran,15935 La Cantera Parkway                               ,S000012927
87,registran,15935 La Cantera Parkway                               ,S000012929
87,registran,15935 La Cantera Parkway                               ,S000012897
194,registran,"53 State Street, 33rd floor                            ",S000068925
194,registran,"53 State Street, 33rd floor                            ",S000072426
194,registran,"53 State Street, 33rd floor                            ",S000005488
194,registran,"53 State Street, 33rd floor                            ",S000005485
194,registran,"53 State Street, 33rd floor                            ",S000077554
194,registran,"53 State Street, 33rd floor                            ",S000005489
194,registran,"53 State Street, 33rd floor                            ",S000034948
194,registran,"53 State Street, 33rd floor                            ",S000004922
