Unnamed:_0,tags,value,series_id
12,seriesId ,S000023506                                             ,S000071770
12,seriesId ,S000012926                                             ,S000012927
12,seriesId ,S000063269                                             ,S000060180
12,seriesId ,S000007475                                             ,S000007473
12,seriesId ,S000006023                                             ,S000006023
12,seriesId ,S000063269                                             ,S000063668
12,seriesId ,S000017679                                             ,S000017679
12,seriesId ,S000005488                                             ,S000068925
12,seriesId ,S000012926                                             ,S000012929
12,seriesId ,S000017679                                             ,S000017677
12,seriesId ,S000015878                                             ,S000015878
12,seriesId ,S000012926                                             ,S000012897
12,seriesId ,S000005488                                             ,S000072426
12,seriesId ,S000063269                                             ,S000074053
12,seriesId ,S000007475                                             ,S000007463
12,seriesId ,S000007475                                             ,S000007493
12,seriesId ,S000012926                                             ,S000037226
12,seriesId ,S000007475                                             ,S000007487
12,seriesId ,S000005488                                             ,S000005488
12,seriesId ,S000017679                                             ,S000054519
12,seriesId ,S000063113                                             ,S000057630
12,seriesId ,S000007475                                             ,S000007481
12,seriesId ,S000005488                                             ,S000005485
12,seriesId ,S000063269                                             ,S000054488
12,seriesId ,S000012926                                             ,S000037227
12,seriesId ,S000005488                                             ,S000077554
12,seriesId ,S000005488                                             ,S000005489
12,seriesId ,S000005488                                             ,S000034948
12,seriesId ,S000005488                                             ,S000004922
12,seriesId ,S000007475                                             ,S000007459
12,seriesId ,S000006023                                             ,S000065248
12,seriesId ,S000040658                                             ,S000040658
12,seriesId ,S000007475                                             ,S000007462
14,seriesId ,S000013697                                             ,S000071770
14,seriesId ,S000012917                                             ,S000012927
14,seriesId ,S000074056                                             ,S000060180
14,seriesId ,S000007467                                             ,S000007473
14,seriesId ,S000006027                                             ,S000006023
14,seriesId ,S000074056                                             ,S000063668
14,seriesId ,S000017677                                             ,S000017679
14,seriesId ,S000012917                                             ,S000012929
14,seriesId ,S000017677                                             ,S000017677
14,seriesId ,S000012917                                             ,S000012897
14,seriesId ,S000074056                                             ,S000074053
